Survived,Age,Parch,Fare
0,22,0,7.25
1,38,0,71.2833
1,26,0,7.925
1,35,0,53.1
0,35,0,8.05
0,,0,8.4583
0,54,0,51.8625
0,2,1,21.075
1,27,2,11.1333
1,14,0,30.0708
1,4,1,16.7
1,58,0,26.55
0,20,0,8.05
0,39,5,31.275
0,14,0,
1,55,0,
0,2,1,
1,,0,
0,31,0,
1,,0,
0,35,0,
1,34,0,
1,15,0,
1,28,0,
0,8,1,
1,38,5,31.3875
0,,0,7.225
0,19,2,263
1,,0,7.8792
0,,0,7.8958
0,40,0,27.7208
1,,0,146.5208
1,,0,7.75
0,66,0,10.5
0,28,0,82.1708
0,42,0,52
1,,0,7.2292
0,21,0,8.05
0,18,0,18
1,14,0,11.2417
0,40,0,9.475
0,27,0,21
0,,0,7.8958
1,3,2,41.5792
1,19,0,7.8792
0,,0,8.05
0,,0,15.5
1,,0,7.75
0,,0,21.6792
0,18,0,17.8
0,7,1,39.6875
0,21,0,7.8
1,49,0,76.7292
1,29,0,26
0,65,1,61.9792
1,,0,35.5
1,21,0,10.5
0,28.5,0,7.2292
1,5,2,27.75
0,11,2,46.9
0,22,0,7.2292
1,38,0,80
0,45,0,83.475
0,4,2,27.9
0,,0,27.7208
1,,1,15.2458
1,29,0,10.5
0,19,0,8.1583
1,17,2,7.925
0,26,0,8.6625
0,32,0,10.5
0,16,2,46.9
0,21,0,73.5
0,26,0,14.4542
1,32,0,56.4958
0,25,0,7.65
0,,0,7.8958
0,,0,8.05
1,0.83,2,29
1,30,0,12.475
0,22,0,9
1,29,0,9.5
1,,0,7.7875
0,28,0,47.1
1,17,0,10.5
1,33,0,15.85
0,16,3,34.375
0,,0,8.05
1,23,2,263
0,24,0,8.05
0,29,0,8.05
0,20,0,7.8542
0,46,0,61.175
0,26,2,20.575
0,59,0,7.25
0,,0,8.05
0,71,0,34.6542
1,23,1,63.3583
1,34,1,23
0,34,0,26
0,28,0,7.8958
0,,0,7.8958
0,21,1,77.2875
0,33,0,8.6542
0,37,0,7.925
0,28,0,7.8958
1,21,0,7.65
1,,0,7.775
0,38,0,7.8958
1,,0,24.15
0,47,0,52
0,14.5,0,14.4542
0,22,0,8.05
0,20,0,9.825
0,17,0,14.4583
0,21,0,7.925
0,70.5,0,7.75
0,29,0,21
0,24,1,247.5208
0,2,2,31.275
0,21,0,73.5
0,,0,8.05
0,32.5,0,30.0708
1,32.5,0,13
0,54,1,77.2875
1,12,0,11.2417
0,,0,7.75
1,24,0,7.1417
1,,1,22.3583
0,45,0,6.975
0,33,0,7.8958
0,20,0,7.05
0,47,0,14.5
1,29,0,
0,25,0,
0,23,0,
1,19,2,
0,37,0,
0,16,0,
0,24,0,
0,,2,
1,22,0,
1,24,0,
0,19,0,
0,18,0,11.5
0,19,1,36.75
1,27,0,7.7958
0,9,2,34.375
0,36.5,2,26
0,42,0,13
0,51,0,12.525
1,22,0,66.6
0,55.5,0,8.05
0,40.5,2,14.5
0,,0,7.3125
0,51,1,61.3792
1,16,0,7.7333
0,30,0,8.05
0,,0,8.6625
0,,2,69.55
0,44,1,16.1
1,40,0,15.75
0,26,0,7.775
0,17,0,8.6625
0,1,1,39.6875
1,9,2,20.525
1,,1,55
0,45,4,27.9
0,,0,25.925
0,28,0,56.4958
0,61,0,33.5
0,4,1,29.125
1,1,1,11.1333
0,21,0,7.925
0,56,0,30.6958
0,18,1,7.8542
0,,1,25.4667
0,50,0,28.7125
0,30,0,13
0,36,0,0
0,,2,69.55
0,,0,15.05
0,9,2,31.3875
1,1,1,39
1,4,2,
0,,0,
1,,0,
1,45,0,
0,40,1,
0,36,0,
1,32,0,
0,19,0,
1,19,0,
1,3,1,
1,44,0,
1,58,0,146.5208
0,,0,7.75
0,42,1,8.4042
1,,0,7.75
0,24,0,13
0,28,0,9.5
0,,2,69.55
0,34,0,6.4958
0,45.5,0,7.225
1,18,0,8.05
0,2,1,10.4625
0,32,0,15.85
1,26,0,18.7875
1,16,0,7.75
1,40,0,31
0,24,0,
1,35,0,
0,22,0,
0,30,0,
0,,0,
1,31,0,
1,27,0,
0,42,0,
1,32,0,
0,30,0,
1,16,0,
0,27,0,13
0,51,0,8.05
0,,0,7.8958
1,38,0,90
0,22,0,9.35
1,19,0,10.5
0,20.5,0,7.25
0,18,0,13
0,,1,25.4667
1,35,0,83.475
0,29,0,7.775
0,59,0,13.5
1,5,2,31.3875
0,24,0,10.5
0,,0,7.55
0,44,0,26
1,8,2,26.25
0,19,0,10.5
0,33,0,12.275
0,,0,14.4542
1,,0,15.5
0,29,0,10.5
0,22,0,7.125
0,30,0,7.225
0,44,0,90
0,25,0,7.775
1,24,2,14.5
1,37,1,52.5542
0,54,0,26
0,,0,7.25
0,29,1,10.4625
0,62,0,26.55
0,30,0,16.1
0,41,2,20.2125
1,29,2,15.2458
1,,0,79.2
1,30,0,86.5
1,35,0,512.3292
1,50,1,26
0,,0,7.75
1,3,2,31.3875
0,52,1,79.65
0,40,0,0
0,,0,7.75
0,36,0,10.5
0,16,1,39.6875
1,25,0,7.775
1,58,1,153.4625
1,35,0,135.6333
0,,0,31
1,25,0,0
1,41,1,19.5
0,37,1,29.7
1,,0,7.75
1,63,0,77.9583
0,45,0,7.75
0,,0,0
0,7,1,29.125
1,35,1,20.25
0,65,0,7.75
0,28,0,7.8542
0,16,0,9.5
1,19,0,8.05
0,,0,26
0,33,0,8.6625
1,30,0,9.5
0,22,0,7.8958
1,42,0,13
1,22,0,7.75
1,26,0,78.85
1,19,0,91.0792
0,36,0,12.875
0,24,0,8.85
0,24,0,7.8958
0,,0,27.7208
0,23.5,0,7.2292
0,2,2,151.55
1,,0,30.5
1,50,1,247.5208
1,,0,7.75
1,,0,23.25
0,19,0,0
1,,0,12.35
0,,0,8.05
1,0.92,2,151.55
1,,0,110.8833
1,17,0,108.9
0,30,0,24
1,30,0,56.9292
1,24,0,83.1583
1,18,2,262.375
0,26,1,26
0,28,0,7.8958
0,43,1,26.25
1,26,0,7.8542
1,24,0,26
0,54,0,14
1,31,2,164.8667
1,40,1,134.5
0,22,0,7.25
0,27,0,7.8958
1,30,0,12.35
1,22,1,29
0,,2,69.55
1,36,0,135.6333
0,61,0,6.2375
1,36,0,13
1,31,1,20.525
1,16,1,57.9792
1,,0,23.25
0,45.5,0,28.5
0,38,1,153.4625
0,16,0,18
1,,0,133.65
0,,0,7.8958
0,29,0,66.6
1,41,0,134.5
1,45,0,8.05
0,45,0,35.5
1,2,1,26
1,24,2,263
0,28,0,13
0,25,0,13
0,36,0,13
1,24,0,13
1,40,0,13
1,,0,16.1
1,3,1,15.9
0,42,0,8.6625
0,23,0,9.225
0,,0,35
0,15,1,7.2292
0,25,0,17.8
0,,0,7.225
0,28,0,9.5
1,22,1,55
0,38,0,13
1,,0,7.8792
1,,0,7.8792
0,40,4,27.9
