Survived,Age,Fare
0,22,7.25
1,38,71.2833
1,26,7.925
1,35,53.1
0,35,8.05
0,,8.4583
0,54,51.8625
0,2,21.075
1,27,11.1333
1,14,30.0708
1,4,16.7
1,58,26.55
0,20,8.05
0,39,31.275
0,14,7.8542
1,55,16
0,2,29.125
1,,13
0,31,18
1,,7.225
0,35,26
1,34,13
1,15,8.0292
1,28,35.5
0,8,21.075
1,38,31.3875
0,,7.225
0,19,263
1,,7.8792
0,,7.8958
0,40,27.7208
1,,146.5208
1,,7.75
0,66,10.5
0,28,82.1708
0,42,52
1,,7.2292
0,21,8.05
0,18,18
1,14,11.2417
0,40,9.475
0,27,21
0,,7.8958
1,3,41.5792
1,19,7.8792
0,,8.05
0,,15.5
1,,7.75
0,,21.6792
0,18,17.8
0,7,39.6875
0,21,7.8
1,49,76.7292
1,29,26
0,65,61.9792
1,,35.5
1,21,10.5
0,28.5,7.2292
1,5,27.75
0,11,46.9
0,22,7.2292
1,38,80
0,45,83.475
0,4,27.9
0,,27.7208
1,,15.2458
1,29,10.5
0,19,8.1583
1,17,7.925
0,26,8.6625
0,32,10.5
0,16,46.9
0,21,73.5
0,26,14.4542
1,32,56.4958
0,25,7.65
0,,7.8958
0,,8.05
1,0.83,29
1,30,12.475
0,22,9
1,29,9.5
1,,7.7875
0,28,47.1
1,17,10.5
1,33,15.85
0,16,34.375
0,,8.05
1,23,263
0,24,8.05
0,29,8.05
0,20,7.8542
0,46,61.175
0,26,20.575
0,59,7.25
0,,8.05
0,71,34.6542
1,23,63.3583
1,34,23
0,34,26
0,28,7.8958
0,,7.8958
0,21,77.2875
0,33,8.6542
0,37,7.925
0,28,7.8958
1,21,7.65
1,,7.775
0,38,7.8958
1,,24.15
0,47,52
0,14.5,14.4542
0,22,8.05
0,20,9.825
0,17,14.4583
0,21,7.925
0,70.5,7.75
0,29,21
0,24,247.5208
0,2,31.275
0,21,73.5
0,,8.05
0,32.5,30.0708
1,32.5,13
0,54,77.2875
1,12,11.2417
0,,7.75
1,24,7.1417
1,,22.3583
0,45,6.975
0,33,7.8958
0,20,7.05
0,47,14.5
1,29,26
0,25,13
0,23,15.0458
1,19,26.2833
0,37,53.1
0,16,9.2167
0,24,79.2
0,,15.2458
1,22,7.75
1,24,15.85
0,19,6.75
0,18,11.5
0,19,36.75
1,27,7.7958
0,9,34.375
0,36.5,26
0,42,13
0,51,12.525
1,22,66.6
0,55.5,8.05
0,40.5,14.5
0,,7.3125
0,51,61.3792
1,16,7.7333
0,30,8.05
0,,8.6625
0,,69.55
0,44,16.1
1,40,15.75
0,26,7.775
0,17,8.6625
0,1,39.6875
1,9,20.525
1,,55
0,45,27.9
0,,25.925
0,28,56.4958
0,61,33.5
0,4,29.125
1,1,11.1333
0,21,7.925
0,56,30.6958
0,18,7.8542
0,,25.4667
0,50,28.7125
0,30,13
0,36,0
0,,69.55
0,,15.05
0,9,31.3875
1,1,39
1,4,22.025
0,,50
1,,15.5
1,45,26.55
0,40,15.5
0,36,7.8958
1,32,13
0,19,13
1,19,7.8542
1,3,26
1,44,27.7208
1,58,146.5208
0,,7.75
0,42,8.4042
1,,7.75
0,24,13
0,28,9.5
0,,69.55
0,34,6.4958
0,45.5,7.225
1,18,8.05
0,2,10.4625
0,32,15.85
1,26,18.7875
1,16,7.75
1,40,31
0,24,7.05
1,35,21
0,22,7.25
0,30,13
0,,7.75
1,31,113.275
1,27,7.925
0,42,27
1,32,76.2917
0,30,10.5
1,16,8.05
0,27,13
0,51,8.05
0,,7.8958
1,38,90
0,22,9.35
1,19,10.5
0,20.5,7.25
0,18,13
0,,25.4667
1,35,83.475
0,29,7.775
0,59,13.5
1,5,31.3875
0,24,10.5
0,,7.55
0,44,26
1,8,26.25
0,19,10.5
0,33,12.275
0,,14.4542
1,,15.5
0,29,10.5
0,22,7.125
0,30,7.225
0,44,90
0,25,7.775
1,24,14.5
1,37,52.5542
0,54,26
0,,7.25
0,29,10.4625
0,62,26.55
0,30,16.1
0,41,20.2125
1,29,15.2458
1,,79.2
1,30,86.5
1,35,512.3292
1,50,26
0,,7.75
1,3,31.3875
0,52,79.65
0,40,0
0,,7.75
0,36,10.5
0,16,39.6875
1,25,7.775
1,58,153.4625
1,35,135.6333
0,,31
1,25,0
1,41,19.5
0,37,29.7
1,,7.75
1,63,77.9583
0,45,7.75
0,,0
0,7,29.125
1,35,20.25
0,65,7.75
0,28,7.8542
0,16,9.5
1,19,8.05
0,,26
0,33,8.6625
1,30,9.5
0,22,7.8958
1,42,13
1,22,7.75
1,26,78.85
1,19,91.0792
0,36,12.875
0,24,8.85
0,24,7.8958
0,,27.7208
0,23.5,7.2292
0,2,151.55
1,,30.5
1,50,247.5208
1,,7.75
1,,23.25
0,19,0
1,,12.35
0,,8.05
1,0.92,151.55
1,,110.8833
1,17,108.9
0,30,24
1,30,56.9292
1,24,83.1583
1,18,262.375
0,26,26
0,28,7.8958
0,43,26.25
1,26,7.8542
1,24,26
0,54,14
1,31,164.8667
1,40,134.5
0,22,7.25
0,27,7.8958
1,30,12.35
1,22,29
0,,69.55
1,36,135.6333
0,61,6.2375
1,36,13
1,31,20.525
1,16,57.9792
1,,23.25
0,45.5,28.5
0,38,153.4625
0,16,18
1,,133.65
0,,7.8958
0,29,66.6
1,41,134.5
1,45,8.05
0,45,35.5
1,2,26
1,24,263
0,28,13
0,25,13
0,36,13
1,24,13
1,40,13
1,,16.1
1,3,15.9
0,42,8.6625
0,23,9.225
0,,35
0,15,7.2292
0,25,17.8
0,,7.225
0,28,9.5
1,22,55
0,38,13
1,,7.8792
1,,7.8792
0,40,27.9
0,29,27.7208
0,45,14.4542
0,35,7.05
0,,15.5
0,30,7.25
1,60,75.25
1,,7.2292
1,,7.75
1,24,69.3
1,25,55.4417
0,18,6.4958
0,19,8.05
0,22,135.6333
0,3,21.075
1,,82.1708
1,22,7.25
0,27,211.5
0,20,4.0125
0,19,7.775
1,42,227.525
1,1,15.7417
0,32,7.925
1,35,52
0,,7.8958
